,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
06-10-2021 15:19:44.0293482542808722,1.0048828,-0.041015625,0.029296875,1.375,-0.1875,0.15625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.0313482545558201,-0.9902344,-0.20800781,0.060546875,-1.53125,1.375,0.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.0353482549422472,-1.0078125,0.013671875,0.05078125,0.34375,1.5,1.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.0383482551830285,-0.99609375,-0.1171875,-0.0009765625,-1.3125,-1.46875,-1.78125,2.5625,-62.625,-17.5625,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.0433482556977160,1.0,-0.040039062,0.01953125,1.15625,-0.1875,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.0463482559663514,-1.0039062,-0.22070312,0.059570312,-2.8125,1.28125,0.71875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.0473482560910441,-1.0,0.025390625,0.046875,0.40625,1.4375,1.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.0493482563591743,-0.9892578,-0.12792969,0.0009765625,-1.0625,-1.46875,-1.84375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.0583482572355545,-0.9980469,0.025390625,0.0546875,0.21875,1.6875,0.90625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.0613482575554295,-0.9902344,-0.1171875,-0.0029296875,-0.625,-1.53125,-1.65625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.0633482576552472,0.9892578,-0.026367188,0.0087890625,0.90625,0.0,0.34375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.0653482579042576,-1.0068359,-0.23242188,0.033203125,-2.6875,0.84375,1.375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.0753482588803774,0.9980469,-0.022460938,0.015625,1.21875,0.03125,0.53125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.0783482592309816,-1.0019531,-0.22070312,0.047851562,-1.84375,0.34375,2.3125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.0853482598734243,-0.9941406,-0.12011719,0.001953125,-1.0625,-1.25,-1.84375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.0853482599042837,-0.99609375,0.018554688,0.05078125,0.0,1.75,0.96875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.0853482599314399,0.98828125,-0.02734375,0.01953125,1.4375,0.03125,0.46875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.0883482602289712,-0.9970703,-0.21289062,0.0390625,0.28125,0.09375,2.78125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.0923482606197628,-1.0029297,0.032226562,0.048828125,0.0,1.75,0.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.0963482610063253,-0.9970703,-0.12890625,-0.0078125,-1.34375,-1.1875,-1.59375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.1083482621977055,-0.99902344,0.02734375,0.051757812,-0.3125,1.9375,0.46875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.1083482622401482,-1.0,-0.125,-0.001953125,-1.53125,-1.40625,-1.53125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.1093482622694503,0.9921875,-0.04296875,0.005859375,1.5625,0.0,0.46875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.1123482625688930,-0.9765625,-0.21484375,0.051757812,2.0625,0.28125,2.78125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.1183482631905545,0.9892578,-0.033203125,0.005859375,1.6875,-0.125,0.28125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.1243482638051691,-0.9765625,-0.21289062,0.04296875,3.34375,0.71875,2.5,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,3
06-10-2021 15:19:44.1253482639565024,-1.0048828,0.026367188,0.044921875,-0.125,1.8125,0.34375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.1293482643337837,-0.99316406,-0.13574219,0.0078125,-1.59375,-1.53125,-1.34375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
06-10-2021 15:19:44.1303482643720128,0.9892578,-0.033203125,0.0107421875,1.4375,-0.25,0.15625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,3
06-10-2021 15:19:44.1363482650530180,-1.0126953,0.020507812,0.048828125,-0.125,1.75,0.34375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,3
06-10-2021 15:19:44.1403482654345649,-1.0048828,-0.12890625,-0.0009765625,-1.53125,-1.1875,-1.125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,3
