,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
20-10-2021 12:51:51.8846341602701642,0.0078125,0.9609375,-0.20703125,1.4375,0.65625,0.53125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,1
20-10-2021 12:51:51.8856341603492579,-0.9814453,-0.017578125,-0.1796875,6.6875,7.625,18.96875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,1
20-10-2021 12:51:51.8876341605515548,-0.39648438,-0.49316406,0.7949219,-3.625,-0.4375,2.96875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,1
20-10-2021 12:51:51.8996341617294558,-0.39648438,-0.49121094,0.7910156,-3.1875,0.09375,3.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,1
20-10-2021 12:51:51.9036341621445756,-0.97558594,-0.20507812,-0.13574219,-5.4375,3.34375,-16.1875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000608670,1,1
20-10-2021 12:51:51.9046341622724662,0.0068359375,0.9609375,-0.20703125,2.0,0.34375,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,1
20-10-2021 12:51:51.9066341624216017,-0.9814453,-0.024414062,-0.19824219,8.03125,8.84375,19.625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,1
20-10-2021 12:51:51.9166341634013985,0.0048828125,0.9550781,-0.19335938,2.4375,0.21875,0.03125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,1
20-10-2021 12:51:51.9166341634647996,-0.9921875,-0.024414062,-0.20605469,8.46875,9.5,19.8125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,1
20-10-2021 12:51:51.9216341639660287,-0.40820312,-0.5078125,0.8027344,-2.9375,0.21875,2.71875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,1
20-10-2021 12:51:51.9246341642357267,-0.9716797,-0.20800781,-0.13476562,-5.375,3.71875,-16.3125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000608670,1,1
20-10-2021 12:51:51.9256341643506850,-0.97558594,-0.20605469,-0.13378906,-4.78125,4.1875,-16.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000608670,1,1
20-10-2021 12:51:51.9276341645219037,0.01953125,0.9550781,-0.19824219,2.65625,0.09375,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,1
20-10-2021 12:51:51.9396341657272527,-0.40039062,-0.50390625,0.81152344,-2.09375,0.34375,2.125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,1
20-10-2021 12:51:51.9406341658176850,-0.9941406,-0.018554688,-0.20703125,7.625,8.84375,19.5625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,1
20-10-2021 12:51:51.9436341661858673,-0.4091797,-0.49121094,0.8066406,-1.40625,0.0,1.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,1
