,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
13-10-2021 14:26:26.875672296403908,-0.8798828,-0.107421875,0.49414062,3.9375,-3.5,-0.625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000576642,1,1
13-10-2021 14:26:26.876672297033388,-0.48242188,0.5175781,0.9716797,15.625,-54.28125,-35.28125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000576642,1,1
13-10-2021 14:26:26.887672308536252,-0.36523438,0.2998047,1.1044922,-1.65625,-35.28125,-9.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000576642,1,1
13-10-2021 14:26:26.888672308953700,-0.9550781,-0.27539062,-0.12011719,2.78125,-3.0625,0.84375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000576642,1,1
13-10-2021 14:26:26.892672312842502,-0.8378906,0.4326172,0.025390625,-1.1875,2.125,-3.625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000576642,1,1
13-10-2021 14:26:26.896672317377606,-0.875,-0.1171875,0.5136719,4.9375,-4.15625,-0.5,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000576642,1,1
13-10-2021 14:26:26.900672321089533,-0.953125,-0.26660156,-0.109375,2.59375,-2.8125,0.34375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000576642,1,1
13-10-2021 14:26:26.903672324306252,-0.8378906,0.421875,0.021484375,2.25,3.34375,-1.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000576642,1,1
13-10-2021 14:26:26.906672326976513,-0.87597656,-0.13085938,0.5283203,4.5,-3.75,-0.1875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000576642,1,1
13-10-2021 14:26:26.909672329778752,-0.5019531,0.14453125,0.98046875,-16.875,-26.0625,30.4375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000576642,1,1
13-10-2021 14:26:26.914672335366981,-0.8798828,0.46289062,0.005859375,4.125,4.5625,-0.5,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000576642,1,1
