,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
20-10-2021 12:58:17.6116727329898630,-0.033203125,0.9716797,0.055664062,-6.78125,6.625,-2.75,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,6
20-10-2021 12:58:17.6276727345716651,-0.765625,-0.2529297,0.6689453,21.28125,22.375,-5.875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,6
20-10-2021 12:58:17.6346727352666130,-0.029296875,0.9628906,0.051757812,-6.71875,6.5,-2.8125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,6
20-10-2021 12:58:17.6366727354032953,-0.9921875,-0.16210938,-0.041992188,-1.59375,2.375,0.34375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,6
20-10-2021 12:58:17.6386727356841494,-0.75,-0.2421875,0.6689453,17.625,21.84375,-6.3125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000608670,1,6
20-10-2021 12:58:17.6426727360932484,-0.953125,-0.32617188,-0.115234375,-1.40625,-3.6875,-1.125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000608670,1,6
20-10-2021 12:58:17.6466727364448994,-0.9951172,-0.15820312,-0.049804688,-1.46875,2.125,0.65625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,6
20-10-2021 12:58:17.6536727371873369,-0.94628906,-0.32714844,-0.107421875,-1.1875,-3.5,-1.0625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000608670,1,6
20-10-2021 12:58:17.6566727373945192,-0.032226562,0.96777344,0.0546875,-6.25,6.40625,-2.625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000608670,1,6
20-10-2021 12:58:17.6576727375491547,-0.9951172,-0.15722656,-0.053710938,-1.25,2.3125,0.71875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000608670,1,6
