,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
13-10-2021 15:17:15.1843720605193996,-0.9941406,0.0146484375,-0.02734375,-0.5,2.78125,-0.75,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.1873720608107069,-0.9716797,-0.23828125,0.25097656,-8.875,-1.46875,1.15625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.1953720616327589,-0.97753906,0.109375,-0.23339844,1.9375,-0.25,-0.6875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2003720620995037,-0.9472656,-0.24511719,0.234375,-8.625,-2.75,1.75,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.2013720621885246,-0.99609375,-0.08691406,-0.0859375,1.28125,-1.46875,0.21875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2033720623835819,-0.99902344,0.0107421875,-0.032226562,0.78125,2.90625,-0.1875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.2113720631669829,-0.9892578,-0.09277344,-0.080078125,0.28125,-1.40625,0.03125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2173720638118683,-1.0009766,0.025390625,-0.048828125,2.125,3.09375,0.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.2183720638886548,-0.96484375,0.109375,-0.24414062,2.0,-0.75,-0.9375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2273720647767954,-0.98339844,-0.0859375,-0.06640625,-0.5,-1.40625,0.09375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2273720648234464,-0.92871094,-0.2685547,0.25976562,-7.09375,-1.65625,2.375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.2293720649918058,-0.9980469,0.0546875,-0.051757812,1.21875,2.84375,0.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.2333720654249204,-0.9765625,0.109375,-0.23925781,2.0,-0.875,-0.625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2343720654544516,-0.94433594,-0.3046875,0.25683594,-1.96875,1.4375,1.8125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.2403720661120923,-0.96875,0.11328125,-0.22558594,1.625,-0.375,-0.5,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2423720663244673,-0.9609375,-0.28515625,0.265625,7.25,2.375,0.46875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.2443720665569673,-0.9785156,-0.09765625,-0.0859375,-1.125,-1.0,0.46875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2503720671315610,-0.99121094,0.043945312,-0.041015625,-0.0625,2.4375,0.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.2653720686598735,-0.984375,-0.08203125,-0.09863281,-1.25,-1.0,0.71875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2663720687001704,-1.0078125,0.032226562,-0.0546875,-0.375,2.3125,0.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.2663720687268891,-0.9746094,0.115234375,-0.24023438,1.625,0.03125,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2673720687976287,-0.9892578,-0.08300781,-0.1015625,-0.9375,-1.0625,0.84375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2703720691065246,-1.0019531,0.034179688,-0.041992188,-0.5625,1.6875,0.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.2733720694468058,-0.9667969,0.1171875,-0.24707031,1.875,0.0,0.03125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2763720697423631,-0.9658203,-0.2548828,0.25195312,13.40625,3.21875,0.46875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.2863720707297225,-0.98046875,0.11621094,-0.23242188,2.0625,-0.375,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.2893720710480766,-0.9550781,-0.21289062,0.24414062,12.75,3.90625,0.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.2903720710823423,-0.9892578,-0.095703125,-0.087890625,0.03125,-1.0,0.90625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.2933720713728371,-1.0,0.033203125,-0.047851562,0.28125,1.875,0.65625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.3023720722802068,-0.95410156,-0.18554688,0.23242188,7.0,4.0625,0.84375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.3023720723187433,-0.9902344,-0.08496094,-0.09863281,1.3125,-1.125,1.09375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.3043720725026183,-0.9873047,0.03515625,-0.061523438,1.3125,2.65625,0.96875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.3113720732494777,-0.95410156,-0.19042969,0.2548828,-2.03125,3.9375,2.125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.3153720735960662,-0.9814453,-0.09277344,-0.08691406,1.28125,-1.3125,1.09375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
13-10-2021 15:17:15.3163720737293735,-0.99609375,0.033203125,-0.045898438,1.03125,2.25,1.03125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001058735,1,3
13-10-2021 15:17:15.3193720739790975,-0.98046875,0.1328125,-0.24316406,2.4375,-0.9375,-0.3125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.3193720740373371,-0.9716797,0.12402344,-0.23730469,2.71875,-1.1875,-0.125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.3213720741822121,-0.9609375,-0.22167969,0.2607422,-10.8125,2.59375,2.96875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.3333720753635193,-0.9863281,0.11621094,-0.24414062,2.96875,-0.8125,-0.125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001058735,1,3
13-10-2021 15:17:15.3333720754032850,-0.95996094,-0.27734375,0.2421875,-14.34375,0.03125,3.34375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001058735,1,3
13-10-2021 15:17:15.3343720754523839,-0.9941406,-0.07714844,-0.0859375,0.71875,-1.0625,0.71875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001058735,1,3
