,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
06-10-2021 15:21:41.8293600343042167,0.89453125,-0.038085938,0.41601562,1.4375,-0.875,0.53125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,6
06-10-2021 15:21:41.8323600346020604,0.14160156,-1.0341797,0.33203125,-34.0,10.0,4.9375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,6
06-10-2021 15:21:41.8343600348355292,-1.0048828,0.068359375,-0.0703125,1.625,1.6875,-1.3125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,6
06-10-2021 15:21:41.8363600350474823,-0.97558594,-0.20019531,0.013671875,-1.125,-2.59375,-0.625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,6
06-10-2021 15:21:41.8413600355284510,0.1171875,-1.1074219,0.33789062,13.03125,13.71875,0.15625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,6
06-10-2021 15:21:41.8503600363790917,0.89746094,-0.04296875,0.42578125,1.375,-0.6875,0.15625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,6
06-10-2021 15:21:41.8573600370635813,-1.0029297,0.055664062,-0.076171875,1.21875,1.375,-1.0625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,6
06-10-2021 15:21:41.8623600375620448,0.8935547,-0.053710938,0.41503906,1.5,-0.5625,-0.25,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,6
06-10-2021 15:21:41.8653600378633729,0.078125,-1.0595703,0.32421875,64.875,16.53125,-3.625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,6
06-10-2021 15:21:41.8683600382258417,-1.0009766,0.06933594,-0.05078125,-1.125,1.625,-1.34375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,6
06-10-2021 15:21:41.8703600384540396,-0.98046875,-0.20117188,0.0048828125,-1.25,-3.0,-0.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,6
06-10-2021 15:21:41.8713600384912167,0.9033203,-0.046875,0.41601562,1.75,-0.3125,-0.3125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,6
06-10-2021 15:21:41.8753600388817948,0.029296875,-0.93652344,0.30273438,99.03125,18.125,-8.5625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,6
06-10-2021 15:21:41.8793600393640240,-0.9921875,0.064453125,-0.06738281,-4.59375,1.9375,-1.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,6
06-10-2021 15:21:41.8833600397288938,-0.9824219,-0.20605469,0.0146484375,-1.0,-3.1875,-0.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,6
06-10-2021 15:21:41.8873600401234354,0.021484375,-0.8154297,0.2763672,107.71875,22.9375,-11.375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000815039,1,6
06-10-2021 15:21:41.8953600408916385,-0.9902344,-0.20507812,0.0126953125,-1.0,-3.3125,-0.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,6
06-10-2021 15:21:41.8953600409295656,0.8925781,-0.040039062,0.40527344,1.6875,-0.25,-0.375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,6
06-10-2021 15:21:41.9023600415723417,-1.0019531,0.056640625,-0.06738281,-4.90625,2.125,-1.0625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000815039,1,6
06-10-2021 15:21:41.9043600418217323,-0.99121094,-0.20117188,0.0146484375,-0.9375,-3.5,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000815039,1,6
06-10-2021 15:21:41.9053600418967531,0.89746094,-0.040039062,0.41503906,1.6875,-0.1875,-0.375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000815039,1,6
