,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
22-09-2021 15:30:41.5328115814967110,-0.99609375,-0.07421875,-0.08984375,-0.6875,-1.0625,-0.5,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,4
22-09-2021 15:30:41.5388115821037318,-0.3203125,0.7128906,0.6376953,-1.65625,-0.4375,0.0,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,4
22-09-2021 15:30:41.5468115829241641,-0.99316406,-0.080078125,-0.09277344,-0.6875,-1.125,-0.5,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,4
22-09-2021 15:30:41.5518115833918152,-0.31933594,0.7080078,0.6455078,-1.3125,-0.5,0.0,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,4
22-09-2021 15:30:41.5608115842552006,-0.99316406,0.08984375,-0.07910156,-0.0625,1.6875,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,4
22-09-2021 15:30:41.5618115844224349,-0.9970703,-0.07421875,-0.09472656,-0.625,-0.875,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,4
22-09-2021 15:30:41.5678115849791016,-0.3203125,0.69921875,0.6357422,-1.96875,-0.4375,-0.1875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,4
22-09-2021 15:30:41.5748115857413516,-0.984375,0.08691406,-0.078125,0.0,1.6875,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,4
22-09-2021 15:30:41.5768115858474818,0.0390625,0.84765625,-0.47460938,1.5,-1.1875,0.34375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,4
22-09-2021 15:30:41.5768115859127839,-0.99609375,-0.080078125,-0.107421875,-0.625,-1.0,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,4
22-09-2021 15:30:41.5818115863928881,-0.32421875,0.7001953,0.6425781,-2.625,-0.3125,-0.5,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,4
22-09-2021 15:30:41.5908115873191016,-0.9941406,0.09082031,-0.06347656,0.0,1.625,0.09375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,4
22-09-2021 15:30:41.5918115873557527,0.045898438,0.8515625,-0.47753906,1.5,-1.1875,0.46875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,4
22-09-2021 15:30:41.5938115876262214,-0.9941406,-0.07910156,-0.099609375,-0.5,-0.875,-0.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,4
22-09-2021 15:30:41.5978115879954245,-0.3173828,0.70214844,0.63671875,-2.28125,-0.3125,-0.125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,4
22-09-2021 15:30:41.6058115887571329,-0.9980469,0.09375,-0.083984375,0.0,1.5625,0.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,4
22-09-2021 15:30:41.6068115888903047,0.0390625,0.8515625,-0.47851562,1.375,-1.1875,0.65625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,4
