,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
27-10-2021 15:03:29.4412743598127858,-0.75878906,-0.33789062,0.109375,7.5,11.15625,-27.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.4412743598527546,-0.9248047,-1.2851562,-0.31640625,-58.84375,-41.03125,-114.40625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.4442743601052754,-1.0820312,0.07714844,-0.018554688,-20.40625,-8.0,64.5625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.4462743603428796,-0.21679688,0.94628906,0.23632812,-21.0,-10.28125,8.71875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.4502743607387598,-0.7792969,-0.30371094,0.10546875,11.71875,8.84375,-11.78125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.4532743609805619,-0.46679688,1.3408203,-0.45507812,-12.40625,-27.59375,-33.9375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.4552743612390775,-1.1572266,0.056640625,-0.09375,-18.75,-12.53125,81.34375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.4572743614727285,-0.2685547,1.1337891,0.15625,-20.09375,-3.875,7.5,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.4642743621358535,-2.0,0.10253906,-0.4296875,-27.96875,-16.375,-68.0625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.4662743623595567,-1.2460938,0.033203125,-0.14746094,-21.25,-21.5625,100.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.4692743626045671,-0.23339844,1.3652344,0.072265625,-14.0625,-5.25,1.4375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.4732743629996035,-0.82421875,-0.30371094,0.07421875,12.625,6.21875,7.25,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.4842743641198796,-0.94140625,-0.2841797,0.045898438,11.15625,8.15625,32.15625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.4872743644216817,-1.0527344,-0.6953125,0.46972656,15.5625,-42.0625,-81.0625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.4892743646403483,-1.3007812,0.0009765625,0.03515625,-36.8125,-25.90625,120.90625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.4912743648154525,-0.13183594,1.3359375,-0.05078125,1.75,-8.4375,-2.875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.4952743651958327,-1.0234375,-0.26367188,-0.001953125,5.40625,8.84375,61.375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.4972743654189733,-0.58496094,0.068359375,0.20019531,-45.5,-9.34375,-48.84375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.5002743657251608,-1.4101562,-0.10253906,0.18847656,-48.71875,-29.3125,128.53125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5052743662606348,-0.036132812,1.2177734,-0.064453125,11.09375,-9.34375,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.5092743665946712,-1.2919922,-0.36035156,-0.22460938,-31.375,3.59375,-48.59375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.5112743668077389,-1.6767578,-0.23730469,0.24316406,-31.21875,-33.15625,116.9375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5132743670630410,0.02734375,1.1962891,-0.036132812,9.3125,-5.625,2.96875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.5192743676763119,-1.0546875,-0.18457031,-0.0107421875,-5.09375,1.375,87.625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.5292743686056973,-0.9794922,-0.14257812,-0.036132812,-22.59375,-6.78125,110.15625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.5312743688043744,-1.0410156,-0.33398438,0.2109375,7.96875,-3.0,-42.8125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.5362743693354785,-1.5341797,-0.10058594,0.39160156,-30.28125,-24.4375,136.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5372743694175567,0.024414062,1.1367188,0.0029296875,9.3125,-2.28125,3.46875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.5412743698102337,-0.9589844,-0.16992188,0.025390625,-46.09375,-27.34375,127.1875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.5452743701871400,-0.9121094,-0.11621094,0.11328125,23.3125,7.25,-29.3125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.5462743702991087,-1.5615234,-0.27734375,0.09375,-25.78125,-26.3125,130.46875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5482743705629108,0.01171875,1.0498047,-0.032226562,12.9375,-2.03125,4.5625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.5542743711149577,-1.0214844,-0.16601562,0.00390625,11.8125,10.71875,-24.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.5582743715150202,-1.5263672,-0.28222656,-0.23339844,12.1875,-29.96875,140.3125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5582743715732077,-0.016601562,0.99316406,-0.041992188,7.84375,-1.34375,2.96875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.5622743719604108,-1.1992188,-0.24707031,0.038085938,-64.34375,-2.21875,136.34375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.5742743731233275,-1.2949219,-0.33691406,-0.032226562,-61.34375,-2.46875,176.6875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.5762743733260879,-0.9980469,-0.19726562,-0.08886719,13.59375,12.375,-19.84375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9002208059,1,6
27-10-2021 15:03:29.5782743735506087,-1.3642578,0.099609375,-0.4111328,57.0625,-11.375,143.90625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5812743738447962,-0.026367188,0.9404297,-0.06347656,4.9375,-3.125,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
27-10-2021 15:03:29.5882743745228431,-1.1064453,-0.3642578,0.00390625,-58.25,-44.5,214.34375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9002208059,1,6
27-10-2021 15:03:29.5902743746834212,-1.3857422,0.40234375,-0.38085938,62.3125,-4.46875,159.96875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9002208059,1,6
27-10-2021 15:03:29.5922743749516348,-0.055664062,0.8935547,-0.064453125,6.75,-7.15625,-2.40625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9002208059,1,6
