,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
03-11-2021 15:23:58.649675364275730,-0.98046875,0.013671875,-0.16210938,-0.4375,1.28125,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.656675371125209,-0.9863281,-0.14648438,0.15039062,0.59375,-0.1875,-0.375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.661675376989793,-0.9921875,0.1015625,-0.030273438,-0.875,-0.3125,-0.875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.666675381621876,-0.93066406,-0.37109375,0.19628906,-1.78125,0.28125,0.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.670675385324168,-0.9863281,0.0068359375,-0.15722656,-0.4375,1.3125,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.675675390048543,-0.9316406,-0.3642578,0.19726562,-2.09375,0.0,0.0,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.678675393801199,-0.9902344,-0.140625,0.15917969,0.78125,0.0,-0.1875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.681675396839949,-0.9794922,0.0126953125,-0.16992188,-0.3125,1.3125,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.683675398807761,-0.99316406,0.09277344,-0.022460938,-0.625,-0.625,-0.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.689675404939428,-0.9824219,-0.14355469,0.13964844,0.71875,0.09375,-0.3125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.695675410595522,-1.0,0.10546875,-0.038085938,-0.5625,-0.5625,-0.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.699675414580001,-0.92089844,-0.3671875,0.1953125,-2.40625,-0.1875,0.09375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.704675419379584,-0.9941406,-0.14453125,0.14160156,0.65625,0.15625,-0.375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.705675420893334,-0.9873047,0.00390625,-0.1796875,-0.375,1.28125,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.708675423049220,-1.0009766,0.10058594,-0.041015625,-0.5625,-0.5625,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.708675423813490,-0.9326172,-0.36816406,0.20019531,-2.21875,-0.25,0.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.715675430391042,-0.98828125,0.018554688,-0.17578125,-0.5,1.28125,-0.25,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.719675434778803,-0.9326172,-0.36914062,0.19726562,-2.09375,-0.1875,0.15625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.723675438526199,-0.9892578,-0.14550781,0.15234375,0.65625,0.21875,-0.25,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.726675441862709,-0.9824219,0.015625,-0.17578125,-0.1875,1.5,-0.1875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.731675446816928,-0.99316406,0.109375,-0.046875,-0.5,-0.5625,-0.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.749675464977605,-0.9921875,-0.13964844,0.15136719,0.53125,0.21875,-0.3125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.750675465354376,-0.9951172,0.10058594,-0.049804688,-0.5625,-0.6875,-0.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.750675465646876,-0.92871094,-0.37304688,0.19042969,-1.59375,-0.3125,0.34375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.751675465921876,-0.98535156,-0.1484375,0.14648438,0.71875,0.34375,-0.375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.751675466222449,-0.9863281,0.01171875,-0.16113281,-0.125,1.5625,-0.1875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.752675467031980,-0.99609375,0.103515625,-0.041015625,-0.75,-0.625,-0.875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
03-11-2021 15:23:58.753675468359272,-0.92285156,-0.37109375,0.18847656,-1.25,-0.1875,0.40625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.761675476739949,-0.9824219,0.0087890625,-0.17089844,-0.4375,1.5,-0.25,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.766675481847032,-0.9267578,-0.359375,0.18554688,-1.125,-0.0625,0.46875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,4
03-11-2021 15:23:58.768675483846459,-0.99316406,-0.14257812,0.14746094,0.71875,0.53125,-0.25,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,4
03-11-2021 15:23:58.773675488798178,-0.9873047,0.013671875,-0.171875,-0.375,1.5,-0.125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,4
03-11-2021 15:23:58.774675489109272,-0.9873047,0.095703125,-0.040039062,-0.625,-0.75,-1.0625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,4
