,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
03-11-2021 15:20:31.070467785273882,-0.4111328,-0.63183594,0.6826172,-1.46875,0.03125,0.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.076467791696486,-0.89453125,0.3076172,-0.31835938,-0.625,-0.875,-0.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.079467794270861,-0.41210938,-0.62597656,0.6796875,-1.0,-0.0625,0.71875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.088467803173778,-0.88671875,0.3017578,-0.328125,-0.5,-0.8125,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.093467809139820,-0.9863281,-0.07910156,0.1796875,1.03125,-0.5625,-0.125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.096467811142788,-0.9941406,-0.07910156,0.171875,1.03125,-0.5,0.03125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.096467811698934,-0.91308594,0.3623047,-0.20117188,-0.3125,1.6875,0.03125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.099467814689038,-0.89746094,0.30371094,-0.31054688,-0.6875,-0.6875,-0.625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.101467816861382,-0.41308594,-0.6357422,0.6748047,-1.1875,0.03125,0.78125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.106467821101643,-0.9794922,-0.07519531,0.18066406,1.09375,-0.4375,0.09375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.109467824535653,-0.9169922,0.3515625,-0.20605469,-0.25,1.6875,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.112467827904976,-0.4169922,-0.62597656,0.67578125,-1.53125,0.09375,0.84375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.119467834161799,-0.9091797,0.3515625,-0.19140625,-0.1875,1.5625,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.121467836293257,-0.8876953,0.30371094,-0.31933594,-1.1875,-0.75,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.124467839837736,-0.4189453,-0.6425781,0.6855469,-1.65625,0.03125,0.78125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.140467855042840,-0.89453125,0.3076172,-0.3203125,-1.1875,-0.625,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.140467855218830,-0.9980469,-0.076171875,0.16699219,1.15625,-0.25,0.15625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.140467855344299,-0.9892578,-0.07421875,0.16796875,1.28125,-0.25,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.143467858498205,-0.90722656,0.3486328,-0.203125,-0.0625,1.5,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.146467861529247,-0.8925781,0.30566406,-0.31445312,-0.9375,-0.4375,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.146467861644559,-0.4033203,-0.6347656,0.68652344,-1.59375,0.0,0.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.149467864919872,-0.9863281,-0.076171875,0.16503906,1.09375,-0.375,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.152467867596278,-0.9091797,0.36035156,-0.1953125,0.0,1.625,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.158467873408986,-0.4111328,-0.63183594,0.6796875,-1.0625,0.21875,0.53125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.161467876150861,-0.9873047,-0.07910156,0.16796875,1.28125,-0.3125,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.163467878265288,-0.91308594,0.359375,-0.203125,-0.125,1.375,0.03125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.166467880975236,-0.89160156,0.31054688,-0.31835938,-0.9375,-0.5625,-0.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.168467883187684,-0.41601562,-0.6328125,0.6777344,-1.34375,0.28125,0.40625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
03-11-2021 15:20:31.177467892651695,-0.89746094,0.3046875,-0.3232422,-0.875,-0.625,-0.9375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.183467898475653,-0.9921875,-0.078125,0.16796875,1.09375,-0.25,0.09375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001934268,1,1
03-11-2021 15:20:31.185467900548465,-0.90527344,0.35839844,-0.19824219,-0.375,1.5,0.09375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001934268,1,1
03-11-2021 15:20:31.188467903935913,-0.8955078,0.3154297,-0.3173828,-0.8125,-0.75,-0.8125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001934268,1,1
03-11-2021 15:20:31.191467906224195,-0.41601562,-0.6298828,0.6738281,-1.53125,0.21875,0.46875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001934268,1,1
