,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
27-10-2021 14:32:20.480874637406227,-0.53808594,-0.8808594,0.09375,-4.46875,-3.875,-0.6875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.481874638606436,-0.9628906,-0.068359375,-0.25585938,2.59375,-1.84375,0.09375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.485874642069457,0.05078125,0.9003906,-0.3701172,0.59375,-0.3125,-0.125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.488874645297269,-0.5332031,-0.8925781,0.09277344,-4.03125,-1.65625,0.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.491874647965238,-0.94433594,-0.025390625,-0.23339844,-6.0625,-0.4375,0.28125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.493874649979561,-0.9140625,0.39453125,-0.03125,0.0,1.875,0.09375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.504874661225967,-0.90722656,0.38476562,-0.03125,0.03125,1.875,-0.125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.506874663758623,0.04296875,0.9042969,-0.3671875,0.65625,-0.375,0.09375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.516874673403519,-0.9589844,-0.060546875,-0.23046875,-7.71875,0.65625,0.03125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.516874673743050,-0.52734375,-0.88378906,0.11035156,-3.125,1.5,1.3125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.517874674283884,-0.90722656,0.3935547,-0.036132812,0.21875,2.25,-0.3125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.517874674662842,0.040039062,0.8955078,-0.36621094,0.71875,-0.4375,0.34375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.521874678783832,-0.53125,-0.8798828,0.1171875,-1.78125,4.375,1.8125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.523874680709092,-0.97558594,-0.07714844,-0.21582031,-7.9375,-0.8125,-0.625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.530874687152477,0.0546875,0.90234375,-0.38867188,0.59375,-0.125,0.65625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.533874690177842,-0.5332031,-0.8720703,0.111328125,0.78125,6.5625,2.0625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.535874691952477,-0.9794922,-0.06640625,-0.2109375,-4.90625,-1.125,-1.0,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.537874694337009,-0.91308594,0.38867188,-0.034179688,0.65625,1.8125,-0.125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.550874707344196,-0.9189453,0.38867188,-0.043945312,0.40625,2.0,-0.125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.552874709395811,0.047851562,0.89160156,-0.38085938,0.40625,0.34375,0.71875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.555874712742425,-0.5361328,-0.8544922,0.11621094,2.96875,6.6875,2.0,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.558874715512165,-0.9785156,-0.060546875,-0.21777344,-3.0625,-0.8125,-1.46875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.562874719593311,-0.91796875,0.38085938,-0.0546875,0.34375,2.0,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.579874736113154,0.049804688,0.90234375,-0.36914062,0.21875,0.71875,0.65625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.580874737465707,-0.53515625,-0.8574219,0.13964844,3.90625,6.28125,1.5625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.581874737774248,-0.98828125,-0.06542969,-0.21289062,-1.59375,-0.6875,-1.71875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.583874740268259,-0.92089844,0.38476562,-0.045898438,0.34375,2.1875,0.40625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.586874743609665,0.0390625,0.8955078,-0.3720703,0.21875,0.71875,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.592874749476384,-0.97753906,-0.064453125,-0.21289062,-0.25,-0.9375,-1.71875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.595874752601540,-0.93359375,0.38476562,-0.041992188,0.0,2.125,0.46875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.597874753954821,0.055664062,0.8984375,-0.3857422,0.28125,0.53125,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.600874757341071,-0.5439453,-0.8486328,0.13671875,3.71875,5.0625,0.96875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.600874757666488,-0.54003906,-0.8466797,0.1171875,3.65625,2.71875,1.09375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.602874759458467,-0.98535156,-0.076171875,-0.23144531,2.375,-1.25,-1.25,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.605874762736800,-0.921875,0.3828125,-0.0546875,-1.25,1.4375,0.46875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.614874771197790,-0.54296875,-0.8408203,0.10449219,2.0,1.4375,0.71875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.614874771545134,-0.98046875,-0.07910156,-0.21386719,3.28125,-2.09375,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.615874771839925,0.0390625,0.91015625,-0.3671875,0.78125,0.09375,-0.1875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.619874776678832,0.048828125,0.91796875,-0.36132812,0.84375,-0.125,-0.125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.625874782370238,-0.5449219,-0.83984375,0.109375,-0.75,0.59375,0.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.629874786610654,-0.921875,0.38671875,-0.046875,-0.5,1.6875,0.34375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.637874793841123,-0.96972656,-0.08105469,-0.20898438,3.34375,-1.53125,0.0,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.639874796175863,-0.8935547,0.40234375,-0.033203125,-0.5625,1.5625,0.09375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.642874798878259,0.05859375,0.9111328,-0.3798828,1.09375,-0.25,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.645874802656748,-0.5498047,-0.86816406,0.08984375,-3.125,0.21875,0.34375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.648874805012634,-0.94921875,-0.0625,-0.25097656,2.0625,-2.46875,0.65625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.650874807143779,-0.8955078,0.39257812,-0.045898438,-0.5,1.75,-0.1875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.652874809749613,0.056640625,0.90234375,-0.36914062,1.09375,-0.6875,-0.125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.656874813316071,-0.54296875,-0.8779297,0.09375,-3.3125,1.5625,0.84375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.660874817666019,-0.9433594,-0.034179688,-0.22167969,-8.875,-0.0625,1.21875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.664874821011904,0.046875,0.88964844,-0.36621094,1.15625,-0.875,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.667874824565342,-0.5449219,-0.8779297,0.1171875,-2.15625,3.59375,1.6875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.672874829415029,-0.8935547,0.3935547,-0.03125,-0.125,1.9375,-0.6875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.682874839725082,-0.9580078,-0.053710938,-0.20898438,-11.0625,-0.1875,-0.1875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.685874842654977,-0.9140625,0.3798828,-0.024414062,0.65625,2.0625,-0.5625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.687874844717425,0.030273438,0.88964844,-0.36132812,1.28125,-0.625,0.71875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.692874848943415,-0.5390625,-0.8623047,0.13671875,-0.5625,4.375,2.0625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.695874852334457,-0.9863281,-0.059570312,-0.20703125,-10.21875,0.46875,-1.34375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.697874854052477,-0.9345703,0.37304688,-0.040039062,1.375,2.0,-0.3125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.698874855703571,0.032226562,0.890625,-0.36328125,1.03125,0.0,1.4375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.702874859456384,-0.53515625,-0.8544922,0.13769531,0.78125,4.5625,1.6875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.705874862336488,-0.99316406,-0.059570312,-0.21386719,-7.46875,-0.8125,-2.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.711874868210029,0.034179688,0.90625,-0.37597656,0.65625,0.71875,1.6875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.715874872386175,-0.5292969,-0.8417969,0.13476562,0.84375,3.59375,1.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.716874872866436,-0.9921875,-0.056640625,-0.22363281,-4.65625,-1.0625,-3.75,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.718874875471592,-0.93652344,0.3798828,-0.041992188,1.4375,2.0,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.732874888941540,-0.9277344,0.3798828,-0.05859375,0.46875,1.875,0.40625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9000565268,1,3
27-10-2021 14:32:20.732874889462009,0.041015625,0.9013672,-0.36914062,0.28125,1.625,2.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.735874892741644,-0.53515625,-0.84277344,0.123046875,1.15625,2.125,0.53125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
27-10-2021 14:32:20.740874897197998,-0.98828125,-0.053710938,-0.23828125,-2.9375,-0.5625,-3.96875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9000565268,1,3
27-10-2021 14:32:20.750874907280290,0.041992188,0.89160156,-0.38085938,0.40625,2.375,1.8125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9000565268,1,3
27-10-2021 14:32:20.750874907675394,-0.5410156,-0.8457031,0.12988281,2.25,0.34375,0.28125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9000565268,1,3
